광종,국가,단위,매장량
ANTIMONY,United States,metric tons,60000
ANTIMONY,Australia,metric tons,140000
ANTIMONY,Bolivia,metric tons,310000
ANTIMONY,Burma,metric tons,140000
ANTIMONY,Canada,metric tons,78000
ANTIMONY,China,metric tons,640000
ANTIMONY,Kyrgyzstan,metric tons,260000
ANTIMONY,Mexico,metric tons,18000
ANTIMONY,Pakistan,metric tons,26000
ANTIMONY,Russia (recoverable),metric tons,350000
ANTIMONY,Tajikistan,metric tons,50000
ANTIMONY,Turkey,metric tons,99000
ANTIMONY,World total (rounded),metric tons,2000000
ASBESTOS,Brazil,metric tons,11000000
ASBESTOS,China,metric tons,18000000
ASBESTOS,Russia,metric tons,110000000
BARITE,China,thousand metric tons,92000
BARITE,India,thousand metric tons,51000
BARITE,Iran,thousand metric tons,38000
BARITE,Kazakhstan,thousand metric tons,85000
BARITE,Russia,thousand metric tons,12000
BAUXITE,United States,thousand metric dry tons,20000
BAUXITE,Australia,thousand metric dry tons,3500000
BAUXITE,Brazil,thousand metric dry tons,2700000
BAUXITE,China,thousand metric dry tons,710000
BAUXITE,Guinea,thousand metric dry tons,7400000
BAUXITE,India,thousand metric dry tons,660000
BAUXITE,Indonesia,thousand metric dry tons,1000000
BAUXITE,Jamaica,thousand metric dry tons,2000000
BAUXITE,Kazakhstan,thousand metric dry tons,160000
BAUXITE,Russia,thousand metric dry tons,480000
BAUXITE,Saudi Arabia,thousand metric dry tons,180000
BAUXITE,Turkey,thousand metric dry tons,63000
BAUXITE,Vietnam,thousand metric dry tons,5800000
BAUXITE,Other countries,thousand metric dry tons,5100000
BAUXITE,World total (rounded),thousand metric dry tons,30000000
BORON,United States,thousand metric tons,48000
BORON,"Chile, ulexite",thousand metric tons,35000
BORON,"China, boric oxide equivalent",thousand metric tons,20000
BORON,"Peru, crude borates",thousand metric tons,4000
BORON,"Russia, datolite ore",thousand metric tons,40000
BORON,"Turkey, refined borates",thousand metric tons,950000
BROMINE,United States,metric tons,11000000
BROMINE,Azerbaijan,metric tons,300000
CHROMIUM,United States,thousand metric tons,630
CHROMIUM,Finland,thousand metric tons,8300
CHROMIUM,India,thousand metric tons,79000
CHROMIUM,Kazakhstan,thousand metric tons,230000
CHROMIUM,South Africa,thousand metric tons,200000
CHROMIUM,Turkey,thousand metric tons,27000
CHROMIUM,World total (rounded),thousand metric tons,560000
COBALT,United States,metric tons,69000
COBALT,Australia,metric tons,1700000
COBALT,Canada,metric tons,230000
COBALT,Congo (Kinshasa),metric tons,6000000
COBALT,Cuba,metric tons,500000
COBALT,Indonesia,metric tons,500000
