2011 ¼Òºñ·®,2012 ¼Òºñ·®,2013 ¼Òºñ·®,2014 ¼Òºñ·®,2015 ¼Òºñ·®,2016 ¼Òºñ·®,2017 ¼Òºñ·®,2018 ¼Òºñ·®,2019 ¼Òºñ·®,2020 ¼Òºñ·®,2021 ¼Òºñ·®,2022 ¼Òºñ·®,2023 ¼Òºñ·®,±¤Á¾,±¹°¡,´ÜÀ§,´ë·ú,Ç°¸ñ
293.867,253.700,201.000,225.800,220.751,226.106,247.578,260.381,246.674,190.106,198.989,337.973,272.189,¾Ë·ç¹Ì´½,Austria,ÃµÅæ,EUROPE,refined
10.200,10.200,10.200,29.598,21.898,30.197,27.001,27.052,31.673,29.178,39.481,3.276,2.400,¾Ë·ç¹Ì´½,Belarus,ÃµÅæ,EUROPE,refined
382.312,344.280,236.780,202.967,231.648,184.982,212.039,233.065,181.368,138.809,204.808,257.193,160.985,¾Ë·ç¹Ì´½,Belgium,ÃµÅæ,EUROPE,refined
52.188,53.527,60.645,87.027,109.824,110.526,109.522,111.927,119.211,95.958,128.057,121.134,97.254,¾Ë·ç¹Ì´½,Bulgaria,ÃµÅæ,EUROPE,refined
77.771,83.684,76.755,66.065,24.672,52.033,96.463,112.930,136.757,143.869,159.163,135.867,129.308,¾Ë·ç¹Ì´½,Croatia,ÃµÅæ,EUROPE,refined
173.054,160.590,154.357,147.329,152.171,143.921,142.835,90.579,69.129,23.958,0.000,17.994,24.624,¾Ë·ç¹Ì´½,Czech Republic,ÃµÅæ,EUROPE,refined
64.759,55.256,34.500,39.334,62.734,69.600,70.884,67.719,48.243,13.432,9.509,11.983,12.000,¾Ë·ç¹Ì´½,Denmark,ÃµÅæ,EUROPE,refined
37.175,32.170,33.007,36.964,36.272,37.133,41.203,41.824,35.433,34.831,42.271,37.806,26.215,¾Ë·ç¹Ì´½,Finland,ÃµÅæ,EUROPE,refined
583.900,546.245,588.107,693.843,655.998,731.560,706.904,692.537,671.362,585.195,659.282,619.684,520.838,¾Ë·ç¹Ì´½,France,ÃµÅæ,EUROPE,refined
2103.344,2085.629,2082.960,2289.476,2163.247,2197.239,2159.921,2139.248,1988.308,1808.000,2111.000,2075.100,1595.300,¾Ë·ç¹Ì´½,Germany,ÃµÅæ,EUROPE,refined
221.682,234.515,253.893,250.744,247.243,291.057,385.293,399.844,366.075,410.120,446.023,481.577,425.552,¾Ë·ç¹Ì´½,Greece,ÃµÅæ,EUROPE,refined
245.259,221.597,179.138,203.320,215.539,219.999,251.233,232.475,193.610,138.468,192.794,191.945,184.739,¾Ë·ç¹Ì´½,Hungary,ÃµÅæ,EUROPE,refined
0.840,0.840,0.840,0.840,0.794,2.036,1.061,0.642,1.741,1.592,9.539,9.259,9.076,¾Ë·ç¹Ì´½,Ireland,ÃµÅæ,EUROPE,refined
994.403,751.788,709.120,810.463,800.926,908.805,924.155,950.527,938.394,768.121,950.254,1018.483,801.035,¾Ë·ç¹Ì´½,Italy,ÃµÅæ,EUROPE,refined
1.942,2.329,2.809,3.027,3.930,4.592,5.185,6.426,5.353,4.749,5.309,5.603,5.852,¾Ë·ç¹Ì´½,Macedonia,ÃµÅæ,EUROPE,refined
146.400,146.400,146.400,146.400,146.400,146.400,112.800,112.800,112.800,112.800,104.000,60.000,60.000,¾Ë·ç¹Ì´½,Netherlands,ÃµÅæ,EUROPE,refined
180.000,180.000,222.015,187.563,222.630,240.000,240.000,222.587,249.600,231.324,276.000,252.000,252.000,¾Ë·ç¹Ì´½,Norway,ÃµÅæ,EUROPE,refined
266.842,282.417,148.413,147.833,192.372,229.532,234.690,288.192,281.729,283.401,278.712,276.311,249.321,¾Ë·ç¹Ì´½,Poland,ÃµÅæ,EUROPE,refined
