가격단위,광종,예측가격,전망기간
USD/lb,코발트,48.84,2008-01-01
USD/lb,코발트,47.88,2008-04-01
USD/lb,코발트,34.35,2008-07-01
USD/lb,코발트,22.77,2008-10-01
USD/lb,코발트,15.51,2009-01-01
USD/lb,코발트,15.57,2009-04-01
USD/lb,코발트,18.93,2009-07-01
USD/lb,코발트,19.99,2009-10-01
USD/lb,코발트,21.75,2010-01-01
USD/lb,코발트,21.67,2010-04-01
USD/lb,코발트,20.33,2010-07-01
USD/lb,코발트,18.71,2010-10-01
USD/lb,코발트,19.77,2011-01-01
USD/lb,코발트,18.17,2011-04-01
USD/lb,코발트,17.19,2011-07-01
USD/lb,코발트,15.29,2011-10-01
USD/lb,코발트,15.18,2012-01-01
USD/lb,코발트,14.80,2012-04-01
USD/lb,코발트,13.33,2012-07-01
USD/lb,코발트,12.12,2012-10-01
USD/lb,코발트,12.56,2013-01-01
USD/lb,코발트,13.38,2013-04-01
USD/lb,코발트,14.07,2013-07-01
USD/lb,코발트,13.13,2013-10-01
USD/lb,코발트,14.29,2014-01-01
USD/lb,코발트,14.27,2014-04-01
USD/lb,코발트,15.17,2014-07-01
USD/lb,코발트,14.60,2014-10-01
USD/lb,코발트,14.06,2015-01-01
USD/lb,코발트,14.03,2015-04-01
USD/lb,코발트,13.73,2015-07-01
USD/lb,코발트,11.73,2015-10-01
USD/lb,코발트,10.95,2016-01-01
USD/lb,코발트,11.08,2016-04-01
USD/lb,코발트,12.36,2016-07-01
USD/lb,코발트,13.87,2016-10-01
USD/lb,코발트,20.99,2017-01-01
USD/lb,코발트,27.46,2017-04-01
USD/lb,코발트,29.34,2017-07-01
USD/lb,코발트,31.40,2017-10-01
USD/lb,코발트,38.81,2018-01-01
USD/lb,코발트,42.56,2018-04-01
USD/lb,코발트,35.03,2018-07-01
USD/lb,코발트,32.02,2018-10-01
USD/lb,코발트,18.06,2019-01-01
USD/lb,코발트,16.17,2019-04-01
USD/lb,코발트,15.51,2019-07-01
USD/lb,코발트,17.60,2019-10-01
USD/lb,코발트,17.51,2020-01-01
USD/lb,코발트,15.86,2020-04-01
USD/lb,코발트,15.15,2020-07-01
USD/lb,코발트,15.82,2020-10-01
USD/lb,코발트,21.98,2021-01-01
USD/lb,코발트,21.13,2021-04-01
USD/lb,코발트,24.55,2021-07-01
USD/lb,코발트,29.61,2021-10-01
USD/lb,코발트,36.04,2022-01-01
USD/lb,코발트,38.02,2022-04-01
USD/lb,코발트,26.73,2022-07-01
USD/lb,코발트,24.45,2022-10-01
USD/lb,코발트,18.80,2023-01-01
USD/lb,코발트,16.47,2023-04-01
USD/lb,코발트,18.48,2023-07-01
USD/lb,코발트,17.40,2023-10-01
USD/lb,코발트,16.75,2024-01-01
USD/lb,코발트,16.03,2024-04-01
USD/lb,코발트,15.67,2024-07-01
USD/lb,코발트,15.66,2024-10-01
USD/lb,코발트,15.70,2025-01-01
USD/lb,코발트,15.72,2025-04-01
USD/lb,코발트,15.67,2025-07-01
USD/lb,코발트,15.64,2025-10-01
USD/lb,코발트,17.24,2026-01-01
USD/lb,코발트,18.13,2026-04-01
USD/lb,코발트,18.74,2026-07-01
USD/lb,코발트,19.28,2026-10-01
