∞°∞›¥‹¿ß,±§¡æ,øπ√¯∞°∞›,¿¸∏¡±‚∞£
USD/mtu,≈÷Ω∫≈Ÿ,245.10,2008-01-01
USD/mtu,≈÷Ω∫≈Ÿ,250.65,2008-04-01
USD/mtu,≈÷Ω∫≈Ÿ,247.50,2008-07-01
USD/mtu,≈÷Ω∫≈Ÿ,238.88,2008-10-01
USD/mtu,≈÷Ω∫≈Ÿ,209.52,2009-01-01
USD/mtu,≈÷Ω∫≈Ÿ,186.83,2009-04-01
USD/mtu,≈÷Ω∫≈Ÿ,186.35,2009-07-01
USD/mtu,≈÷Ω∫≈Ÿ,189.80,2009-10-01
USD/mtu,≈÷Ω∫≈Ÿ,202.50,2010-01-01
USD/mtu,≈÷Ω∫≈Ÿ,225.08,2010-04-01
USD/mtu,≈÷Ω∫≈Ÿ,243.46,2010-07-01
USD/mtu,≈÷Ω∫≈Ÿ,300.68,2010-10-01
USD/mtu,≈÷Ω∫≈Ÿ,362.71,2011-01-01
USD/mtu,≈÷Ω∫≈Ÿ,442.29,2011-04-01
USD/mtu,≈÷Ω∫≈Ÿ,462.79,2011-07-01
USD/mtu,≈÷Ω∫≈Ÿ,433.81,2011-10-01
USD/mtu,≈÷Ω∫≈Ÿ,405.27,2012-01-01
USD/mtu,≈÷Ω∫≈Ÿ,388.27,2012-04-01
USD/mtu,≈÷Ω∫≈Ÿ,367.46,2012-07-01
USD/mtu,≈÷Ω∫≈Ÿ,345.96,2012-10-01
USD/mtu,≈÷Ω∫≈Ÿ,348.79,2013-01-01
USD/mtu,≈÷Ω∫≈Ÿ,365.56,2013-04-01
USD/mtu,≈÷Ω∫≈Ÿ,416.15,2013-07-01
USD/mtu,≈÷Ω∫≈Ÿ,385.04,2013-10-01
USD/mtu,≈÷Ω∫≈Ÿ,358.80,2014-01-01
USD/mtu,≈÷Ω∫≈Ÿ,365.54,2014-04-01
USD/mtu,≈÷Ω∫≈Ÿ,352.70,2014-07-01
USD/mtu,≈÷Ω∫≈Ÿ,314.23,2014-10-01
USD/mtu,≈÷Ω∫≈Ÿ,274.23,2015-01-01
USD/mtu,≈÷Ω∫≈Ÿ,239.58,2015-04-01
USD/mtu,≈÷Ω∫≈Ÿ,195.58,2015-07-01
USD/mtu,≈÷Ω∫≈Ÿ,167.33,2015-10-01
USD/mtu,≈÷Ω∫≈Ÿ,174.62,2016-01-01
USD/mtu,≈÷Ω∫≈Ÿ,198.02,2016-04-01
USD/mtu,≈÷Ω∫≈Ÿ,180.73,2016-07-01
USD/mtu,≈÷Ω∫≈Ÿ,188.06,2016-10-01
USD/mtu,≈÷Ω∫≈Ÿ,194.69,2017-01-01
USD/mtu,≈÷Ω∫≈Ÿ,210.42,2017-04-01
USD/mtu,≈÷Ω∫≈Ÿ,262.42,2017-07-01
USD/mtu,≈÷Ω∫≈Ÿ,287.96,2017-10-01
USD/mtu,≈÷Ω∫≈Ÿ,313.92,2018-01-01
USD/mtu,≈÷Ω∫≈Ÿ,323.12,2018-04-01
USD/mtu,≈÷Ω∫≈Ÿ,288.85,2018-07-01
USD/mtu,≈÷Ω∫≈Ÿ,268.52,2018-10-01
USD/mtu,≈÷Ω∫≈Ÿ,257.40,2019-01-01
USD/mtu,≈÷Ω∫≈Ÿ,251.73,2019-04-01
USD/mtu,≈÷Ω∫≈Ÿ,197.79,2019-07-01
USD/mtu,≈÷Ω∫≈Ÿ,223.94,2019-10-01
USD/mtu,≈÷Ω∫≈Ÿ,232.15,2020-01-01
USD/mtu,≈÷Ω∫≈Ÿ,204.33,2020-04-01
USD/mtu,≈÷Ω∫≈Ÿ,210.38,2020-07-01
USD/mtu,≈÷Ω∫≈Ÿ,219.19,2020-10-01
USD/mtu,≈÷Ω∫≈Ÿ,248.54,2021-01-01
USD/mtu,≈÷Ω∫≈Ÿ,268.96,2021-04-01
USD/mtu,≈÷Ω∫≈Ÿ,298.00,2021-07-01
USD/mtu,≈÷Ω∫≈Ÿ,309.38,2021-10-01
USD/mtu,≈÷Ω∫≈Ÿ,328.90,2022-01-01
USD/mtu,≈÷Ω∫≈Ÿ,333.00,2022-04-01
USD/mtu,≈÷Ω∫≈Ÿ,325.02,2022-07-01
USD/mtu,≈÷Ω∫≈Ÿ,311.62,2022-10-01
USD/mtu,≈÷Ω∫≈Ÿ,324.04,2023-01-01
USD/mtu,≈÷Ω∫≈Ÿ,323.73,2023-04-01
USD/mtu,≈÷Ω∫≈Ÿ,311.31,2023-07-01
USD/mtu,≈÷Ω∫≈Ÿ,295.96,2023-10-01
USD/mtu,≈÷Ω∫≈Ÿ,296.71,2024-01-01
USD/mtu,≈÷Ω∫≈Ÿ,293.46,2024-04-01
USD/mtu,≈÷Ω∫≈Ÿ,285.14,2024-07-01
USD/mtu,≈÷Ω∫≈Ÿ,277.91,2024-10-01
USD/mtu,≈÷Ω∫≈Ÿ,273.42,2025-01-01
USD/mtu,≈÷Ω∫≈Ÿ,273.35,2025-04-01
USD/mtu,≈÷Ω∫≈Ÿ,272.53,2025-07-01
USD/mtu,≈÷Ω∫≈Ÿ,270.75,2025-10-01
USD/mtu,≈÷Ω∫≈Ÿ,270.80,2026-01-01
USD/mtu,≈÷Ω∫≈Ÿ,273.72,2026-04-01
USD/mtu,≈÷Ω∫≈Ÿ,275.46,2026-07-01
USD/mtu,≈÷Ω∫≈Ÿ,275.86,2026-10-01
