국가명,기간,수입금액(천불),수입중량(톤),수출금액(천불),수출중량(톤),품목명
남아프리카공화국,2021,,,,,동
네덜란드,2021,0.0,0.0,0.0,0.0,동
독일,2021,,,,,동
러시아연방,2021,12.0,0.0,0.0,0.0,동
멕시코,2021,23815.0,10185.0,0.0,0.0,동
몬테네그로,2021,29452.0,22656.0,0.0,0.0,동
미국,2021,50841.0,25219.0,0.0,0.0,동
베트남,2021,,,,,동
브라질,2021,125083.0,43321.0,0.0,0.0,동
사우디아라비아,2021,,,,,동
스웨덴,2021,0.0,0.0,0.0,0.0,동
UAE,2021,63214.0,37527.0,0.0,0.0,동
아르메니아,2021,8748.0,7664.0,0.0,0.0,동
우즈베키스탄,2021,0.0,0.0,0.0,0.0,동
인도,2021,,,,,동
인도네시아,2021,793883.0,301262.0,17.0,246.0,동
일본,2021,0.0,0.0,12489.0,6434.0,동
조지아,2021,38.0,24.0,0.0,0.0,동
중국,2021,92.0,2.0,1172999.0,553578.0,동
칠레,2021,931692.0,382806.0,0.0,0.0,동
카타르,2021,47129.0,25079.0,0.0,0.0,동
캄보디아,2021,0.0,0.0,157.0,391.0,동
캐나다,2021,775225.0,214808.0,0.0,0.0,동
케냐,2021,,,,,동
콩고,2021,394.0,323.0,0.0,0.0,동
크로아티아,2021,10626.0,5593.0,0.0,0.0,동
탄자니아,2021,,,,,동
태국,2021,0.0,0.0,57.0,15.0,동
튀르키예,2021,1.0,0.0,0.0,0.0,동
파나마,2021,365082.0,142977.0,0.0,0.0,동
파키스탄,2021,,,,,동
파푸아뉴기니,2021,105195.0,29379.0,0.0,0.0,동
페루,2021,1288783.0,451931.0,0.0,0.0,동
폴란드,2021,,,,,동
프랑스,2021,0.0,0.0,0.0,0.0,동
핀란드,2021,0.0,0.0,0.0,0.0,동
필리핀,2021,69419.0,19979.0,0.0,0.0,동
호주,2021,1328508.0,377214.0,0.0,0.0,동
남아프리카공화국,2022,55508.0,16392.0,0.0,0.0,동
네덜란드,2022,,,,,동
독일,2022,0.0,0.0,0.0,0.0,동
러시아연방,2022,,,,,동
멕시코,2022,73136.0,36093.0,0.0,0.0,동
몬테네그로,2022,307154.0,192725.0,0.0,0.0,동
미국,2022,334.0,138.0,0.0,0.0,동
