±¤Á¾,ºÐ·ù,¼öÀÔ±Ý¾×(ÃµºÒ),¼öÀÔÁß·®(Åæ),¼öÃâ±Ý¾×(ÃµºÒ),¼öÃâÁß·®(Åæ),¿¬µµ
±Ý±¤,±Ý¼Ó±¤,67000,5705.000,116,1005.000,2021
Àº±¤,±Ý¼Ó±¤,302335,37635.000,79,63.000,2021
µ¿±¤,±Ý¼Ó±¤,6017233,2097948.000,1185720,560664.000,2021
¿¬±¤,±Ý¼Ó±¤,2366631,642414.000,670,1102.000,2021
¾Æ¿¬±¤,±Ý¼Ó±¤,2044885,1819759.000,34679,23804.000,2021
Ã¶±¤,±Ý¼Ó±¤,12074936,74086964.000,17438,302518.000,2021
ÅÖ½ºÅÙ±¤,±Ý¼Ó±¤,60,1.000,84,8.000,2021
¸ô¸®ºêµ§±¤,±Ý¼Ó±¤,779334,43719.000,90326,9375.000,2021
¸Á°£±¤,±Ý¼Ó±¤,290356,1325095.000,0,0.000,2021
ÁÖ¼®±¤,±Ý¼Ó±¤,17,1.000,78,2.000,2021
Ã¢¿¬,±Ý¼Ó±¤,25,2.000,6663,998.000,2021
¾ÈÆ¼¸ð´Ï±¤,±Ý¼Ó±¤,1093,122.000,0,0.000,2021
ºñ¼Ò±¤,±Ý¼Ó±¤,5,0.000,0,0.000,2021
È²Ã¶¼®,±Ý¼Ó±¤,909,1630.000,0,0.000,2021
´ÏÄÌ,±Ý¼Ó±¤,340685,3181534.000,42,86.000,2021
ÄÚ¹ßÆ®,±Ý¼Ó±¤,1,0.000,0,0.000,2021
Å©·Ò±¤,±Ý¼Ó±¤,833,1754.000,30,66.000,2021
¸®Æ¬±¤,±Ý¼Ó±¤,1047778,94839.000,53933,4980.000,2021
Æ¼Å¸´½±¤,±Ý¼Ó±¤,58922,117742.000,23438,302062.000,2021
ÁúÄÚ´½±¤,±Ý¼Ó±¤,9282,6180.000,1206,338.000,2021
¾Ë·ç¹Ì´½±¤,±Ý¼Ó±¤,33126,424540.000,45,156.000,2021
¹é±Ý±¤,±Ý¼Ó±¤,12,0.020,59,8.000,2021
ÅºÅ»·ý±¤,±Ý¼Ó±¤,15,0.000,0,0.000,2021
¹Ù³ªµã±¤,±Ý¼Ó±¤,0,0.000,6887,7951.000,2021
´Ï¿Àºç±¤,±Ý¼Ó±¤,23,0.000,0,0.000,2021
°Ô¸£¸¶´½±¤,±Ý¼Ó±¤,2,0.000,0,0.000,2021
±âÅ¸ ±Ý¼Ó,±Ý¼Ó±¤,6,1.000,0,0.000,2021
ÀÎ»óÈæ¿¬,ºñ±Ý¼Ó±¤,16091,11394.000,436,51.000,2021
Åä»óÈæ¿¬,ºñ±Ý¼Ó±¤,94759,41060.000,985,340.000,2021
È°¼®,ºñ±Ý¼Ó±¤,46108,204793.000,19255,37182.000,2021
³³¼®,ºñ±Ý¼Ó±¤,768,827.000,4312,70012.000,2021
Àå¼®,ºñ±Ý¼Ó±¤,680,4401.000,2618,29158.000,2021
°í·ÉÅä·ù,ºñ±Ý¼Ó±¤,79561,351576.000,7329,60731.000,2021
¼®È¸¼®·ù,ºñ±Ý¼Ó±¤,58652,2431643.000,11070,340956.000,2021
±Ô¼®,ºñ±Ý¼Ó±¤,36167,151887.000,10691,27170.000,2021
±Ô»ç,ºñ±Ý¼Ó±¤,46661,695975.000,921,6713.000,2021
È²,ºñ±Ý¼Ó±¤,8479,91425.000,186997,1371973.000,2021
±ÔÁ¶Åä,ºñ±Ý¼Ó±¤,19788,43355.000,1631,1223.000,2021
Çü¼®,ºñ±Ý¼Ó±¤,30801,79835.000,146,249.000,2021
ÀÎ±¤¼®,ºñ±Ý¼Ó±¤,72893,597786.000,165,41.000,2021
±ÔÈ¸¼®,ºñ±Ý¼Ó±¤,6560,23577.000,1728,1031.000,2021
¿î¸ð,ºñ±Ý¼Ó±¤,31341,184573.000,6162,1692.000,2021
ÁÖ»ç,ºñ±Ý¼Ó±¤,25,0.000,0,0.000,2021
È«ÁÖ¼®,ºñ±Ý¼Ó±¤,3838,7704.000,0,0.000,2021
±Ô¼±¼®,ºñ±Ý¼Ó±¤,7,2.000,0,0.000,2021
³²Á¤¼®,ºñ±Ý¼Ó±¤,1092,2280.000,0,0.000,2021
ÁßÁ¤¼®,ºñ±Ý¼Ó±¤,10008,42954.000,324,554.000,2021
¸¶±×³×»çÀÌÆ®,ºñ±Ý¼Ó±¤,112821,248556.000,1062,833.000,2021
¼®°í,ºñ±Ý¼Ó±¤,43439,1087435.000,8655,623093.000,2021
ºÒ¼®,ºñ±Ý¼Ó±¤,527,850.000,183,1090.000,2021
¼öÁ¤,ºñ±Ý¼Ó±¤,178,48.000,30,0.000,2021
ºØ¼Ò±¤,ºñ±Ý¼Ó±¤,5406,13297.000,105,57.000,2021
±Ý°­¼®,ºñ±Ý¼Ó±¤,112074,1.238,8477,0.489,2021
ÇÏ¼®,ºñ±Ý¼Ó±¤,57,122.000,7,5.000,2021
±âÅ¸ ºñ±Ý¼Ó,ºñ±Ý¼Ó±¤,47448,148419.000,3557,43136.000,2021
¹«¿¬Åº,¼®Åº±¤,889226,6474924.000,208,430.000,2021
À¯¿¬Åº,¼®Åº±¤,13485474,117105711.000,0,0.000,2021
°¥Åº,¼®Åº±¤,26,26.000,0,0.000,2021
ÅäÅº,¼®Åº±¤,28756,145052.000,84,57.000,2021
±âÅ¸ ¼®Åº,¼®Åº±¤,159198,2035822.000,9,15.000,2021
±Ý±¤,±Ý¼Ó±¤,97902,9750821.000,0,0.000,2022
Àº±¤,±Ý¼Ó±¤,257780,44681899.000,3184,1048880.000,2022
µ¿±¤,±Ý¼Ó±¤,6578328,2358818.000,1582406,745112.000,2022
¿¬±¤,±Ý¼Ó±¤,1874318,562998.000,46,81.000,2022
¾Æ¿¬±¤,±Ý¼Ó±¤,2356267,1689576.000,37506,19398.000,2022
Ã¶±¤,±Ý¼Ó±¤,8920450,66423000.000,14312,275074.000,2022
ÅÖ½ºÅÙ±¤,±Ý¼Ó±¤,607,40.000,3559,1241.000,2022
¸ô¸®ºêµ§±¤,±Ý¼Ó±¤,799955,36001.000,48455,4417.000,2022
¸Á°£±¤,±Ý¼Ó±¤,283632,1085930.000,5,113.000,2022
ÁÖ¼®±¤,±Ý¼Ó±¤,119,17.000,39,1.000,2022
Ã¢¿¬,±Ý¼Ó±¤,4,0.000,0,0.000,2022
