광종,기간,시장위험지수
코발트,2011-01-01,60.361548810
코발트,2011-02-01,52.986157220
코발트,2011-03-01,49.089199510
코발트,2011-04-01,51.034156660
코발트,2011-05-01,57.881663410
코발트,2011-06-01,55.539158830
코발트,2011-07-01,56.638658340
코발트,2011-08-01,60.912815090
코발트,2011-09-01,60.301682300
코발트,2011-10-01,59.994147780
코발트,2011-11-01,63.365842910
코발트,2011-12-01,68.430983820
코발트,2012-01-01,68.287689650
코발트,2012-02-01,66.340847550
코발트,2012-03-01,65.542974420
코발트,2012-04-01,68.707347130
코발트,2012-05-01,67.439499040
코발트,2012-06-01,67.939197070
코발트,2012-07-01,70.584619560
코발트,2012-08-01,73.669430040
코발트,2012-09-01,73.926799970
코발트,2012-10-01,70.760384180
코발트,2012-11-01,72.909293380
코발트,2012-12-01,76.444779430
코발트,2013-01-01,79.125910050
코발트,2013-02-01,75.063122780
코발트,2013-03-01,72.595866690
코발트,2013-04-01,76.234813020
코발트,2013-05-01,75.100398070
코발트,2013-06-01,72.169191460
코발트,2013-07-01,69.608547250
코발트,2013-08-01,68.427432890
코발트,2013-09-01,72.365512880
코발트,2013-10-01,69.201484780
코발트,2013-11-01,70.034764230
코발트,2013-12-01,73.948167750
코발트,2014-01-01,75.009077540
코발트,2014-02-01,68.440587060
코발트,2014-03-01,62.340931840
코발트,2014-04-01,60.946396370
코발트,2014-05-01,62.655920180
코발트,2014-06-01,65.125529950
코발트,2014-07-01,65.073283810
코발트,2014-08-01,62.293221310
코발트,2014-09-01,60.303523290
코발트,2014-10-01,61.498840350
코발트,2014-11-01,63.550555020
코발트,2014-12-01,66.090403440
코발트,2015-01-01,65.926455080
코발트,2015-02-01,63.777864250
코발트,2015-03-01,65.417713650
코발트,2015-04-01,69.343224100
코발트,2015-05-01,66.796711450
코발트,2015-06-01,65.843345930
코발트,2015-07-01,65.664538200
코발트,2015-08-01,66.091430530
코발트,2015-09-01,66.866444680
코발트,2015-10-01,70.054722620
코발트,2015-11-01,70.490166730
코발트,2015-12-01,75.571599080
코발트,2016-01-01,79.181995410
코발트,2016-02-01,78.897540020
코발트,2016-03-01,78.645941130
코발트,2016-04-01,77.646586160
코발트,2016-05-01,77.567630700
코발트,2016-06-01,77.869904970
코발트,2016-07-01,77.388272190
코발트,2016-08-01,75.885115350
코발트,2016-09-01,72.928623460
코발트,2016-10-01,71.599538250
코발트,2016-11-01,70.592370270
코발트,2016-12-01,68.312094620
코발트,2017-01-01,65.000152910
코발트,2017-02-01,60.248721590
코발트,2017-03-01,42.068621060
코발트,2017-04-01,21.328149500
코발트,2017-05-01,19.777364070
코발트,2017-06-01,20.506295150
코발트,2017-07-01,16.010304930
코발트,2017-08-01,14.353518260
코발트,2017-09-01,14.345631340
코발트,2017-10-01,13.742093110
코발트,2017-11-01,12.784945330
코발트,2017-12-01,12.113516970
코발트,2018-01-01,7.089883692
코발트,2018-02-01,4.755830221
코발트,2018-03-01,4.358686074
코발트,2018-04-01,3.572456836
코발트,2018-05-01,3.442435344
코발트,2018-06-01,3.588612743
코발트,2018-07-01,3.679262364
코발트,2018-08-01,4.171906833
코발트,2018-09-01,5.781927477
코발트,2018-10-01,5.729471109
코발트,2018-11-01,5.924610230
코발트,2018-12-01,7.288298006
코발트,2019-01-01,12.572025190
코발트,2019-02-01,39.676885740
코발트,2019-03-01,61.303049490
코발트,2019-04-01,71.600690530
코발트,2019-05-01,62.948781830
코발트,2019-06-01,62.575336970
코발트,2019-07-01,70.003278040
코발트,2019-08-01,76.134151420
코발트,2019-09-01,66.520943940
코발트,2019-10-01,57.748591910
코발트,2019-11-01,55.331530370
코발트,2019-12-01,58.022319880
코발트,2020-01-01,62.366570360
코발트,2020-02-01,57.511984020
코발트,2020-03-01,52.963907390
코발트,2020-04-01,56.376345860
코발트,2020-05-01,59.757914230
코발트,2020-06-01,63.174413350
코발트,2020-07-01,65.003865030
코발트,2020-08-01,68.010976650
코발트,2020-09-01,63.785624040
코발트,2020-10-01,61.623225770
코발트,2020-11-01,61.681202070
코발트,2020-12-01,60.847900020
코발트,2021-01-01,59.300832930
코발트,2021-02-01,46.108348720
코발트,2021-03-01,26.125708190
코발트,2021-04-01,18.606279910
코발트,2021-05-01,27.694971850
코발트,2021-06-01,36.330249750
코발트,2021-07-01,41.858923420
코발트,2021-08-01,27.315294380
코발트,2021-09-01,28.556871660
코발트,2021-10-01,26.994400770
코발트,2021-11-01,21.664797240
코발트,2021-12-01,15.724591920
코발트,2022-01-01,8.366610107
코발트,2022-02-01,8.052553672
코발트,2022-03-01,7.245625394
코발트,2022-04-01,3.460284055
코발트,2022-05-01,3.608392993
코발트,2022-06-01,3.895280292
코발트,2022-07-01,26.483014250
코발트,2022-08-01,40.582025840
코발트,2022-09-01,51.476348900
코발트,2022-10-01,37.629206430
코발트,2022-11-01,38.534676220
코발트,2022-12-01,45.019436750
코발트,2023-01-01,49.397680630
코발트,2023-02-01,60.196562360
코발트,2023-03-01,67.680677520
코발트,2023-04-01,66.967340710
코발트,2023-05-01,68.485489810
코발트,2023-06-01,73.898846700
코발트,2023-07-01,72.419246550
코발트,2023-08-01,59.312513330
코발트,2023-09-01,62.898583850
코발트,2023-10-01,70.780702540
코발트,2023-11-01,69.278009050
코발트,2023-12-01,68.519302200
코발트,2024-01-01,69.262659310
코발트,2024-02-01,74.407242990
코발트,2024-03-01,73.526516640
코발트,2024-04-01,71.941951760
코발트,2024-05-01,72.613790500
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
