광종,기간,수급안정화지수
코발트,2018-01-01,6.688569521
코발트,2018-02-01,4.529362115
코발트,2018-03-01,4.151129594
코발트,2018-04-01,3.402339844
코발트,2018-05-01,3.278509852
코발트,2018-06-01,3.417726422
코발트,2018-07-01,3.504059394
코발트,2018-08-01,3.973244602
코발트,2018-09-01,5.506597597
코발트,2018-10-01,5.456639151
코발트,2018-11-01,5.642485934
코발트,2018-12-01,6.941236196
코발트,2019-01-01,11.973357330
코발트,2019-02-01,38.521248290
코발트,2019-03-01,59.517523780
코발트,2019-04-01,69.515233530
코발트,2019-05-01,61.115322160
코발트,2019-06-01,60.752754340
코발트,2019-07-01,67.964347610
코발트,2019-08-01,73.916651870
코발트,2019-09-01,64.583440720
코발트,2019-10-01,56.066594090
코발트,2019-11-01,53.719932400
코발트,2019-12-01,56.332349400
코발트,2020-01-01,60.550068310
코발트,2020-02-01,55.836877690
코발트,2020-03-01,51.421269310
코발트,2020-04-01,54.734316370
코발트,2020-05-01,58.017392460
코발트,2020-06-01,61.334381890
코발트,2020-07-01,63.110548570
코발트,2020-08-01,66.030074410
코발트,2020-09-01,61.927790330
코발트,2020-10-01,59.828374530
코발트,2020-11-01,59.884662200
코발트,2020-12-01,59.075631090
코발트,2021-01-01,57.573624210
코발트,2021-02-01,44.765387110
코발트,2021-03-01,25.364765230
코발트,2021-04-01,18.064349420
코발트,2021-05-01,26.888322190
코발트,2021-06-01,35.272087130
코발트,2021-07-01,40.639731480
코발트,2021-08-01,26.519703280
코발트,2021-09-01,27.725118120
코발트,2021-10-01,12.084611160
코발트,2021-11-01,21.033783730
코발트,2021-12-01,15.266594100
코발트,2022-01-01,8.122922434
코발트,2022-02-01,7.818013274
코발트,2022-03-01,7.034587761
코발트,2022-04-01,3.359499082
코발트,2022-05-01,3.503294168
코발트,2022-06-01,3.781825527
코발트,2022-07-01,25.711664320
코발트,2022-08-01,39.400025080
코발트,2022-09-01,49.977037770
코발트,2022-10-01,36.533210120
코발트,2022-11-01,37.412307010
코발트,2022-12-01,43.708191020
코발트,2023-01-01,47.958913240
코발트,2023-02-01,58.443264430
코발트,2023-03-01,65.709395650
코발트,2023-04-01,65.016835640
코발트,2023-05-01,66.490766810
코발트,2023-06-01,71.746453110
코발트,2023-07-01,70.309948110
코발트,2023-08-01,57.584964400
코발트,2023-09-01,61.066586260
코발트,2023-10-01,68.719128680
코발트,2023-11-01,67.260202960
코발트,2023-12-01,66.523594370
코발트,2024-01-01,67.245300300
코발트,2024-02-01,71.545425950
코발트,2024-03-01,70.698573690
코발트,2024-04-01,69.174953620
코발트,2024-05-01,69.820952400
