堡辆,扁埃,荐鞭救沥拳瘤荐
府片,2018-01-01,4.208743952
府片,2018-02-01,4.480432173
府片,2018-03-01,5.072714781
府片,2018-04-01,5.054811348
府片,2018-05-01,6.118411818
府片,2018-06-01,7.711653633
府片,2018-07-01,13.930813830
府片,2018-08-01,21.970507760
府片,2018-09-01,32.026203880
府片,2018-10-01,37.524527090
府片,2018-11-01,41.662098560
府片,2018-12-01,40.757433670
府片,2019-01-01,41.369432510
府片,2019-02-01,46.563851460
府片,2019-03-01,46.823254290
府片,2019-04-01,48.237594940
府片,2019-05-01,49.014181210
府片,2019-06-01,48.273227410
府片,2019-07-01,48.711736800
府片,2019-08-01,51.474469240
府片,2019-09-01,56.402068110
府片,2019-10-01,61.269680220
府片,2019-11-01,61.683779420
府片,2019-12-01,62.934546890
府片,2020-01-01,66.452658700
府片,2020-02-01,68.001720280
府片,2020-03-01,68.135683880
府片,2020-04-01,67.602531280
府片,2020-05-01,68.439995420
府片,2020-06-01,69.670282160
府片,2020-07-01,70.783675810
府片,2020-08-01,70.476068660
府片,2020-09-01,70.072119880
府片,2020-10-01,70.411079690
府片,2020-11-01,69.779828870
府片,2020-12-01,67.738751080
府片,2021-01-01,62.950630520
府片,2021-02-01,49.833615490
府片,2021-03-01,40.144638790
府片,2021-04-01,32.602858070
府片,2021-05-01,31.563425910
府片,2021-06-01,32.464488040
府片,2021-07-01,40.409622250
府片,2021-08-01,40.666022080
府片,2021-09-01,29.778163620
府片,2021-10-01,9.600049731
府片,2021-11-01,4.204662714
府片,2021-12-01,11.241146910
府片,2022-01-01,5.791874655
府片,2022-02-01,1.936607938
府片,2022-03-01,1.494917030
府片,2022-04-01,1.998050190
府片,2022-05-01,2.741413223
府片,2022-06-01,3.150840610
府片,2022-07-01,8.207749279
府片,2022-08-01,8.410156397
府片,2022-09-01,8.303806018
府片,2022-10-01,15.225591270
府片,2022-11-01,12.325805520
府片,2022-12-01,9.936780616
府片,2023-01-01,13.780471240
府片,2023-02-01,20.236111890
府片,2023-03-01,26.290953350
府片,2023-04-01,46.180899100
府片,2023-05-01,62.323916450
府片,2023-06-01,44.024667660
府片,2023-07-01,27.996317010
府片,2023-08-01,29.975376030
府片,2023-09-01,45.082777670
府片,2023-10-01,57.909391070
府片,2023-11-01,61.983645470
府片,2023-12-01,66.362557330
府片,2024-01-01,72.069850170
府片,2024-02-01,73.963174450
府片,2024-03-01,73.822379030
府片,2024-04-01,71.251602020
府片,2024-05-01,69.384387790
