2011 »ý»ê·®,2012 »ý»ê·®,2013 »ý»ê·®,2014 »ý»ê·®,2015 »ý»ê·®,2016 »ý»ê·®,2017 »ý»ê·®,2018 »ý»ê·®,2019 »ý»ê·®,2020 »ý»ê·®,2021 »ý»ê·®,2022 »ý»ê·®,2023 »ý»ê·®,±¤Á¾,±¹°¡,´ÜÀ§,´ë·ú,Ç°¸ñ
561.354,800.316,657.100,605.215,787.404,738.612,740.380,760.244,1043.343,619.748,675.269,669.926,542.114,¾Ë·ç¹Ì´½,Bosnia,ÃµÅæ,EUROPE,bauxite
0.000,0.000,0.000,0.000,11.900,9.800,12.200,11.800,14.300,14.100,14.500,13.800,13.800,¾Ë·ç¹Ì´½,Croatia,ÃµÅæ,EUROPE,bauxite
80.800,90.129,100.000,71.100,70.000,110.000,110.000,110.000,120.760,123.496,142.764,120.000,120.000,¾Ë·ç¹Ì´½,France,ÃµÅæ,EUROPE,bauxite
2324.000,1815.328,1844.000,1876.000,1831.270,1880.000,1927.145,1559.360,1379.123,1428.639,1227.000,1173.000,869.100,¾Ë·ç¹Ì´½,Greece,ÃµÅæ,EUROPE,bauxite
277.800,255.100,93.700,14.400,8.300,16.700,4.000,5.000,0.000,0.000,0.000,0.000,0.000,¾Ë·ç¹Ì´½,Hungary,ÃµÅæ,EUROPE,bauxite
158.600,0.000,61.154,82.162,50.369,516.239,927.846,468.200,774.725,897.057,542.049,442.067,148.992,¾Ë·ç¹Ì´½,Montenegro,ÃµÅæ,EUROPE,bauxite
5887.500,5166.000,5322.000,5589.000,5398.000,5431.000,5523.000,5651.000,6641.000,6647.000,6530.850,5780.000,6126.500,¾Ë·ç¹Ì´½,Russia,ÃµÅæ,EUROPE,bauxite
400.069,752.771,826.994,798.114,1014.605,1143.676,1476.966,1011.302,1116.334,1162.100,839.465,773.213,1228.080,¾Ë·ç¹Ì´½,Ghana,ÃµÅæ,AFRICA,bauxite
17695.390,19614.000,20498.000,20287.800,20904.708,32423.932,51701.564,59573.707,70173.327,87766.199,90621.577,103525.515,126412.283,¾Ë·ç¹Ì´½,Guinea,ÃµÅæ,AFRICA,bauxite
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,272.295,300.000,0.000,0.000,¾Ë·ç¹Ì´½,Ivory Coast,ÃµÅæ,AFRICA,bauxite
10.352,8.633,5.697,3.324,4.985,1.451,3.182,9.912,8.024,6.491,7.852,14.583,7.800,¾Ë·ç¹Ì´½,Mozambique,ÃµÅæ,AFRICA,bauxite
1321.000,776.000,616.000,1161.000,1334.046,1368.502,1787.716,1938.455,1883.863,1342.139,1396.678,973.420,1094.421,¾Ë·ç¹Ì´½,Sierra Leone,ÃµÅæ,AFRICA,bauxite
29.520,28.434,39.977,25.641,0.205,0.073,0.013,0.000,0.000,0.026,38.142,9.870,6.000,¾Ë·ç¹Ì´½,Tanzania,ÃµÅæ,AFRICA,bauxite
37173.844,44052.271,50339.383,59212.401,60787.599,66157.689,68392.954,70751.214,73323.663,73200.000,75000.000,71077.800,74413.800,¾Ë·ç¹Ì´½,China,ÃµÅæ,ASIA,bauxite
13000.000,16507.960,20421.000,20688.000,26383.000,24219.000,22775.993,23228.820,22307.024,20315.303,22152.195,23843.329,23286.051,¾Ë·ç¹Ì´½,India,ÃµÅæ,ASIA,bauxite
